UID          PID    PPID  C STIME TTY          TIME CMD
mredko      1547    1221  0 18:20 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
mredko      1564    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-a11y-settings
mredko      1566    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-color
mredko      1571    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-datetime
mredko      1573    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-housekeeping
mredko      1575    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-keyboard
mredko      1578    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-media-keys
mredko      1581    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-power
mredko      1582    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-print-notifications
mredko      1583    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-rfkill
mredko      1586    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
mredko      1587    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-sharing
mredko      1590    1425  0 18:20 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
mredko      1594    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-smartcard
mredko      1596    1425  0 18:20 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
mredko      1598    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-sound
mredko      1601    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-usb-protection
mredko      1606    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-wacom
mredko      1613    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-wwan
mredko      1616    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-xsettings
mredko      1670    1202  0 18:20 ?        00:00:00 /usr/libexec/gsd-printer
mredko      1681    1467  0 18:20 ?        00:00:00 /usr/libexec/ibus-engine-simple
mredko      1744    1425  0 18:21 ?        00:00:00 update-notifier
mredko      1866    1202  0 18:22 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
mredko      1868    1202  0 18:22 ?        00:00:00 /usr/bin/seahorse --gapplication-service
mredko      1869    1202  0 18:22 ?        00:00:01 /usr/libexec/gnome-terminal-server
mredko      1905    1869  0 18:22 pts/0    00:00:00 bash
mredko      2534    1905  0 18:28 pts/0    00:00:00 ps -ef
